最新电影,#genre#
【刘钞钞cc】大数据比你更懂你,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/86143093/52243463_d1fb9993f0e1c6807874dc118ed964fb_264_1080_6_ai.m3u8?bitrate=3288&client=106&definition=yuanhua&pid=1199632616681&scene=vod&vid=1045309154&hyvid=1045309154&hyauid=1199632616681&hyroomid=0&hyratio=3288&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0NTMwOTE1NA%3D%3D&
【坏空空】^-⸝⸝⸝⸝-^੭ﾞ,http://al-vod.cdn.huya.com/leaf/1048585/1259553301717/78391017/42128252_e0790a21806d6df7d5b9773efa696667_264_1080_6_ai.m3u8?bitrate=2592&client=106&definition=yuanhua&pid=1259553301717&scene=vod&vid=1013880616&hyvid=1013880616&hyauid=1259553301717&hyroomid=0&hyratio=2592&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAxMzg4MDYxNg%3D%3D&
【刘钞钞cc】喜欢吗 拿下我 就是你的,http://videotx-platform.cdn.huya.com/leaf/1048585/1259512241953/86141771/52241777_6fd92b507629ad2499e6e61ea5d969f7_264_1080_6_ai.m3u8?bitrate=3220&client=106&definition=yuanhua&pid=1199632617130&scene=vod&vid=1045305052&hyvid=1045305052&hyauid=1199632617130&hyroomid=0&hyratio=3220&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0NTMwNTA1Mg%3D%3D&
【正恒、熙熙-】喜欢哪一套？,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/83836817/49171311_cda27c192ebc4d8dbf3526459d9e322d_264_1080_6_ai.m3u8?bitrate=3174&client=106&definition=yuanhua&pid=1199647467546&scene=vod&vid=1036222146&hyvid=1036222146&hyauid=1199647467546&hyroomid=0&hyratio=3174&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzNjIyMjE0Ng%3D%3D&
弹走不快乐,http://al-vod.cdn.huya.com/leaf/1048585/1199645662596/85245971/51003991_f2978aa4eb7fc7809d05c48142693ff5_264_1080_6_ai.m3u8?bitrate=3351&client=109&definition=yuanhua&pid=1199645662596&scene=vod&vid=1041976430&hyvid=1041976430&hyauid=1199645662596&hyroomid=0&hyratio=3351&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MTk3NjQzMA%3D%3D&
【聚优丶苏樱【青衫阁】】我被你电住 让他们羡慕,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/82131189/46909580_b490399b8ab3dfded121e0dadf737b87_264_1080_6_ai.m3u8?bitrate=3346&client=106&definition=yuanhua&pid=1199647326920&scene=vod&vid=1029315696&hyvid=1029315696&hyauid=1199647326920&hyroomid=0&hyratio=3346&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAyOTMxNTY5Ng%3D%3D&
【Ck-李纯儿】观众老爷请打分,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/84154369/49547832_a5c13c6849733bb5d7f27f78645bd6fc_264_1080_6_ai.m3u8?bitrate=3175&client=106&definition=yuanhua&pid=2208190474&scene=vod&vid=1037545602&hyvid=1037545602&hyauid=2208190474&hyroomid=0&hyratio=3175&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzNzU0NTYwMg%3D%3D&
坏空空性感黑丝舞蹈来袭,http://videotx-platform.cdn.huya.com/leaf/1048585/1199639949365/85532217/51411184_979ee2a15d1fe3dfb81c4e52b66d2e5f_264_1080_6_ai.m3u8?bitrate=3186&client=108&definition=yuanhua&pid=1199639949365&scene=vod&vid=1043113016&hyvid=1043113016&hyauid=1199639949365&hyroomid=0&hyratio=3186&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MzExMzAxNg%3D%3D&
【正恒YJ-VIKI【浈】】给谁看爽了,http://hs-vod.cdn.huya.com/leaf/1048585/1259512241953/85629517/51567659_3bbde21d2c121355b7d3f8c1ec3a69eb_264_1080_6_ai.m3u8?bitrate=2555&client=106&definition=yuanhua&pid=1199647326920&scene=vod&vid=1043491116&hyvid=1043491116&hyauid=1199647326920&hyroomid=0&hyratio=2555&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MzQ5MTExNg%3D%3D&
这几秒到底发生了啥,http://al-vod.cdn.huya.com/leaf/1048585/1199646581989/85342095/51121992_903a669fb89b02143f90bd153d2fdb1c_264_1080_6_ai.m3u8?bitrate=2301&client=106&definition=yuanhua&pid=1199646581989&scene=vod&vid=1042476256&hyvid=1042476256&hyauid=1199646581989&hyroomid=0&hyratio=2301&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MjQ3NjI1Ng%3D%3D&
【刘钞钞cc】看到最后打败99的男人,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/84654723/50453562_9a92255c4cec6b61e456bde246afbb04_264_1080_6_ai.m3u8?bitrate=3023&client=106&definition=yuanhua&pid=1199632539416&scene=vod&vid=1039597284&hyvid=1039597284&hyauid=1199632539416&hyroomid=0&hyratio=3023&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzOTU5NzI4NA%3D%3D&
车老板,http://videotx-platform.cdn.huya.com/leaf/1048585/1199543889727/73872443/36988316_929b3f2ee09c29e78a8dfe4df5377791_264_1080_6_ai.m3u8?bitrate=3237&client=108&definition=yuanhua&pid=1199543889727&scene=vod&vid=995176768&hyvid=995176768&hyauid=1199543889727&hyroomid=0&hyratio=3237&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfOTk1MTc2NzY4&
坏空空性感黑si舞蹈，拿捏直男？,http://al-vod.cdn.huya.com/leaf/1048585/1199639949365/83090209/48119735_ae841391b0fdc77f399922b6e9a68ac1_264_1080_6_ai.m3u8?bitrate=2426&client=108&definition=yuanhua&pid=1199639949365&scene=vod&vid=1033205778&hyvid=1033205778&hyauid=1199639949365&hyroomid=0&hyratio=2426&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzMzIwNTc3OA%3D%3D&
【周童潼】谁说我不会跳舞,http://hs-vod.cdn.huya.com/leaf/1048585/1199566795719/81341461/45878694_d68fdf8af9314fb847ef60a33140216d_264_1080_6_ai.m3u8?bitrate=2120&client=106&definition=yuanhua&pid=1781640162&scene=vod&vid=1026164554&hyvid=1026164554&hyauid=1781640162&hyroomid=0&hyratio=2120&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAyNjE2NDU1NA%3D%3D&
【正恒、长腿兮兮】我不想被拒绝~,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/85692417/51681820_3e3dd9299756e2af0c9bbe1d37ef2f72_264_1080_6_ai.m3u8?bitrate=3153&client=106&definition=yuanhua&pid=1199647307332&scene=vod&vid=1043695128&hyvid=1043695128&hyauid=1199647307332&hyroomid=0&hyratio=3153&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MzY5NTEyOA%3D%3D&
【坏空空【强徒】】这还没感觉？,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/85631813/51540840_7dc258253691a2ade54590afe8a50d45_264_1080_6_ai.m3u8?bitrate=2735&client=106&definition=yuanhua&pid=1199647467546&scene=vod&vid=1043497852&hyvid=1043497852&hyauid=1199647467546&hyroomid=0&hyratio=2735&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MzQ5Nzg1Mg%3D%3D&
【坏空空【强徒】】这种女的都是谁在谈啊,http://videotx-platform.cdn.huya.com/leaf/1048585/1259512241953/84669585/50515563_50a0a63022614969836d38715cad03c4_264_1080_6_ai.m3u8?bitrate=2573&client=106&definition=yuanhua&pid=1199647312371&scene=vod&vid=1039649086&hyvid=1039649086&hyauid=1199647312371&hyroomid=0&hyratio=2573&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzOTY0OTA4Ng%3D%3D&
【正恒、长腿兮兮】比腿咱不能输,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/85698565/51682094_e46b489838a13efca33e12fc85b0bd0b_264_1080_6_ai.m3u8?bitrate=2655&client=106&definition=yuanhua&pid=1199647308834&scene=vod&vid=1043710972&hyvid=1043710972&hyauid=1199647308834&hyroomid=0&hyratio=2655&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MzcxMDk3Mg%3D%3D&
老婆穿的很性感，给榜一大哥跳舞，小伙根本不敢吱声！,http://al-vod.cdn.huya.com/leaf/1048585/1199614348503/83023601/48043768_74ca47d7c379ca0fdeafa099d975e467_264_1080_6_ai.m3u8?bitrate=758&client=106&definition=yuanhua&pid=1199614350422&scene=vod&vid=1032854024&hyvid=1032854024&hyauid=1199614350422&hyroomid=0&hyratio=758&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzMjg1NDAyNA%3D%3D&
你好我是米花 你要爆爆米花么,http://videotx-platform.cdn.huya.com/leaf/1048585/1259512241953/85550347/51432726_75f1090e50981cf34b8e9bd6b804c309_264_1080_6_ai.m3u8?bitrate=1251&client=106&definition=yuanhua&pid=1199648558299&scene=vod&vid=1043167050&hyvid=1043167050&hyauid=1199648558299&hyroomid=0&hyratio=1251&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MzE2NzA1MA%3D%3D&
【刘钞钞cc】大数据比你更懂你,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/86143093/52243463_d1fb9993f0e1c6807874dc118ed964fb_264_1080_6_ai.m3u8?bitrate=3288&client=106&definition=yuanhua&pid=1199632616681&scene=vod&vid=1045309154&hyvid=1045309154&hyauid=1199632616681&hyroomid=0&hyratio=3288&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0NTMwOTE1NA%3D%3D&
【坏空空】^-⸝⸝⸝⸝-^੭ﾞ,http://al-vod.cdn.huya.com/leaf/1048585/1259553301717/78391017/42128252_e0790a21806d6df7d5b9773efa696667_264_1080_6_ai.m3u8?bitrate=2592&client=106&definition=yuanhua&pid=1259553301717&scene=vod&vid=1013880616&hyvid=1013880616&hyauid=1259553301717&hyroomid=0&hyratio=2592&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAxMzg4MDYxNg%3D%3D&
【刘钞钞cc】喜欢吗 拿下我 就是你的,http://hs-vod.cdn.huya.com/leaf/1048585/1259512241953/86141771/52241777_6fd92b507629ad2499e6e61ea5d969f7_264_1080_6_ai.m3u8?bitrate=3220&client=106&definition=yuanhua&pid=1199632617130&scene=vod&vid=1045305052&hyvid=1045305052&hyauid=1199632617130&hyroomid=0&hyratio=3220&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0NTMwNTA1Mg%3D%3D&
【正恒、熙熙-】喜欢哪一套？,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/83836817/49171311_cda27c192ebc4d8dbf3526459d9e322d_264_1080_6_ai.m3u8?bitrate=3174&client=106&definition=yuanhua&pid=1199647467546&scene=vod&vid=1036222146&hyvid=1036222146&hyauid=1199647467546&hyroomid=0&hyratio=3174&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzNjIyMjE0Ng%3D%3D&
弹走不快乐,http://videotx-platform.cdn.huya.com/leaf/1048585/1199645662596/85245971/51003991_f2978aa4eb7fc7809d05c48142693ff5_264_1080_6_ai.m3u8?bitrate=3351&client=109&definition=yuanhua&pid=1199645662596&scene=vod&vid=1041976430&hyvid=1041976430&hyauid=1199645662596&hyroomid=0&hyratio=3351&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MTk3NjQzMA%3D%3D&
【聚优丶苏樱【青衫阁】】我被你电住 让他们羡慕,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/82131189/46909580_b490399b8ab3dfded121e0dadf737b87_264_1080_6_ai.m3u8?bitrate=3346&client=106&definition=yuanhua&pid=1199647326920&scene=vod&vid=1029315696&hyvid=1029315696&hyauid=1199647326920&hyroomid=0&hyratio=3346&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAyOTMxNTY5Ng%3D%3D&
【Ck-李纯儿】观众老爷请打分,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/84154369/49547832_a5c13c6849733bb5d7f27f78645bd6fc_264_1080_6_ai.m3u8?bitrate=3175&client=106&definition=yuanhua&pid=2208190474&scene=vod&vid=1037545602&hyvid=1037545602&hyauid=2208190474&hyroomid=0&hyratio=3175&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzNzU0NTYwMg%3D%3D&
坏空空性感黑丝舞蹈来袭,http://al-vod.cdn.huya.com/leaf/1048585/1199639949365/85532217/51411184_979ee2a15d1fe3dfb81c4e52b66d2e5f_264_1080_6_ai.m3u8?bitrate=3186&client=108&definition=yuanhua&pid=1199639949365&scene=vod&vid=1043113016&hyvid=1043113016&hyauid=1199639949365&hyroomid=0&hyratio=3186&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MzExMzAxNg%3D%3D&
【正恒YJ-VIKI【浈】】给谁看爽了,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/85629517/51567659_3bbde21d2c121355b7d3f8c1ec3a69eb_264_1080_6_ai.m3u8?bitrate=2555&client=106&definition=yuanhua&pid=1199647326920&scene=vod&vid=1043491116&hyvid=1043491116&hyauid=1199647326920&hyroomid=0&hyratio=2555&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MzQ5MTExNg%3D%3D&
这几秒到底发生了啥,http://al-vod.cdn.huya.com/leaf/1048585/1199646581989/85342095/51121992_903a669fb89b02143f90bd153d2fdb1c_264_1080_6_ai.m3u8?bitrate=2301&client=106&definition=yuanhua&pid=1199646581989&scene=vod&vid=1042476256&hyvid=1042476256&hyauid=1199646581989&hyroomid=0&hyratio=2301&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MjQ3NjI1Ng%3D%3D&
【刘钞钞cc】看到最后打败99的男人,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/84654723/50453562_9a92255c4cec6b61e456bde246afbb04_264_1080_6_ai.m3u8?bitrate=3023&client=106&definition=yuanhua&pid=1199632539416&scene=vod&vid=1039597284&hyvid=1039597284&hyauid=1199632539416&hyroomid=0&hyratio=3023&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzOTU5NzI4NA%3D%3D&
车老板,http://al-vod.cdn.huya.com/leaf/1048585/1199543889727/73872443/36988316_929b3f2ee09c29e78a8dfe4df5377791_264_1080_6_ai.m3u8?bitrate=3237&client=108&definition=yuanhua&pid=1199543889727&scene=vod&vid=995176768&hyvid=995176768&hyauid=1199543889727&hyroomid=0&hyratio=3237&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfOTk1MTc2NzY4&
坏空空性感黑si舞蹈，拿捏直男？,http://al-vod.cdn.huya.com/leaf/1048585/1199639949365/83090209/48119735_ae841391b0fdc77f399922b6e9a68ac1_264_1080_6_ai.m3u8?bitrate=2426&client=108&definition=yuanhua&pid=1199639949365&scene=vod&vid=1033205778&hyvid=1033205778&hyauid=1199639949365&hyroomid=0&hyratio=2426&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzMzIwNTc3OA%3D%3D&
【周童潼】谁说我不会跳舞,http://hs-vod.cdn.huya.com/leaf/1048585/1199566795719/81341461/45878694_d68fdf8af9314fb847ef60a33140216d_264_1080_6_ai.m3u8?bitrate=2120&client=106&definition=yuanhua&pid=1781640162&scene=vod&vid=1026164554&hyvid=1026164554&hyauid=1781640162&hyroomid=0&hyratio=2120&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAyNjE2NDU1NA%3D%3D&
【【Miu】苏晓】犹豫就会败北,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/83479887/48663325_4488f7bb2f0e37c0bf68a52705aaa005_264_1080_6_ai.m3u8?bitrate=2996&client=106&definition=yuanhua&pid=1199632550169&scene=vod&vid=1034819938&hyvid=1034819938&hyauid=1199632550169&hyroomid=0&hyratio=2996&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzNDgxOTkzOA%3D%3D&
你的豹纹姐姐,http://hs-vod.cdn.huya.com/leaf/1048585/1199646581989/84943445/50600299_d2120b82eb8e0b2b4ee7ad6d3ec0a276_264_1080_6_ai.m3u8?bitrate=3309&client=106&definition=yuanhua&pid=1199646581989&scene=vod&vid=1040715966&hyvid=1040715966&hyauid=1199646581989&hyroomid=0&hyratio=3309&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MDcxNTk2Ng%3D%3D&
【聚优丶苏樱【青衫阁】】没人能拒绝姐姐吧,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/84422629/49909529_0c6fff2c083a9a70e4f10b61c428536e_264_1080_6_ai.m3u8?bitrate=3320&client=106&definition=yuanhua&pid=1199632678888&scene=vod&vid=1038653800&hyvid=1038653800&hyauid=1199632678888&hyroomid=0&hyratio=3320&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzODY1MzgwMA%3D%3D&
坏空空性感超短裙白丝舞蹈来袭,http://videotx-platform.cdn.huya.com/leaf/1048585/1199639949365/85784393/51752915_d6d546f9976a72f42ef26a36a2980962_264_1080_6_ai.m3u8?bitrate=3132&client=108&definition=yuanhua&pid=1199639949365&scene=vod&vid=1044027702&hyvid=1044027702&hyauid=1199639949365&hyroomid=0&hyratio=3132&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0NDAyNzcwMg%3D%3D&
【华星-刘钞钞】扶起肩带吗？,http://videotx-platform.cdn.huya.com/leaf/1048585/1121669804/53906103/10274437_a0e37017ac802e744f1e00fa2bfbb3c7_264_1080_6_ai.m3u8?bitrate=3293&client=106&definition=yuanhua&pid=1121669804&scene=vod&vid=846460737&hyvid=846460737&hyauid=1121669804&hyroomid=0&hyratio=3293&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfODQ2NDYwNzM3&
女老师和男学生跳舞 注意看男生的眼神 根本不敢直视,http://videotx-platform.cdn.huya.com/leaf/1048585/1199603680144/84983279/50656426_07c5091ba851d66b2aa6d78c18b0f643_264_1080_6_ai.m3u8?bitrate=1202&client=106&definition=yuanhua&pid=1199603680144&scene=vod&vid=1040872772&hyvid=1040872772&hyauid=1199603680144&hyroomid=0&hyratio=1202&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MDg3Mjc3Mg%3D%3D&
【正恒、长腿兮兮】下次别让我等太久好吗 宝宝,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/84543231/50130364_fcc43c3ed1abfeddd2b62a7ca0a1f04d_264_1080_6_ai.m3u8?bitrate=3389&client=106&definition=yuanhua&pid=1199647326920&scene=vod&vid=1039200682&hyvid=1039200682&hyauid=1199647326920&hyroomid=0&hyratio=3389&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzOTIwMDY4Mg%3D%3D&
【车老板呢】不看后悔系列,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/85539441/51415791_529aabf9bb0cecd789288c2780f2a19a_264_1080_6_ai.m3u8?bitrate=1811&client=106&definition=yuanhua&pid=1199632616681&scene=vod&vid=1043131168&hyvid=1043131168&hyauid=1199632616681&hyroomid=0&hyratio=1811&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MzEzMTE2OA%3D%3D&
哥几个又来看穿搭了,http://al-vod.cdn.huya.com/leaf/1048585/1199646581989/85587533/51501907_68dcd95ccf03cf2acbc5c6ad2e9d8356_264_1080_6_ai.m3u8?bitrate=2753&client=106&definition=yuanhua&pid=1199646581989&scene=vod&vid=1043316024&hyvid=1043316024&hyauid=1199646581989&hyroomid=0&hyratio=2753&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MzMxNjAyNA%3D%3D&
3 2 1开震,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/85588205/51502174_0099027e01ddfea38d1951ca484e147b_264_1080_6_ai.m3u8?bitrate=1048&client=106&definition=yuanhua&pid=1199648558299&scene=vod&vid=1043318290&hyvid=1043318290&hyauid=1199648558299&hyroomid=0&hyratio=1048&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTA0MzMxODI5MA%3D%3D&
【车老板呢】外面7度 姐的怀里37度,http://al-vod.cdn.huya.com/leaf/1048585/1259512241953/84290451/49727342_1c2e6039dc2c07af6a342fd882daad4d_264_1080_6_ai.m3u8?bitrate=3255&client=106&definition=yuanhua&pid=1199647307332&scene=vod&vid=1038105884&hyvid=1038105884&hyauid=1199647307332&hyroomid=0&hyratio=3255&hyscence=vod&appid=66&domainid=25&srckey=NjZfMjVfMTAzODEwNTg4NA%3D%3D&
🇨🇳央视频道,QQ群334597477QQ群197853033,#genre#
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8#http://111.20.40.167/PLTV/88888893/224/3221226393/index.m3u8#http://111.20.40.166/PLTV/88888893/224/3221226393/index.m3u8
CCTV-7军事·农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://111.20.40.172/PLTV/88888893/224/3221226391/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV-9记录,http://27.185.2.92:9901/hls/9/index.m3u8
CCTV-10科教,http://27.185.2.92:9901/hls/10/index.m3u8
CCTV-11戏曲,http://27.185.2.92:9901/hls/11/index.m3u8
CCTV-12社会与法,http://27.185.2.92:9901/hls/12/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
